PosX,PosY,LKHD DIST,lookAheadX,lookAheadY,left,right,ONLAST,INDEX,VEL
-53.5708,45.0898,10,-50.2818,35.6462,0.68873,59.1652,0,113,6.2679
-53.7114,44.8823,10,-50.144,35.5403,0.86604,55.2591,0,114,5.87742
-53.8355,44.6827,10,-50.0151,35.4413,1.08088,55.0443,0,114,5.87742
-53.952,44.4786,10,-49.8864,35.3424,1.30372,54.8214,0,114,5.87742
-54.0608,44.2702,10,-49.7576,35.2434,1.53442,54.5907,0,114,5.87742
-54.1617,44.0579,10,-49.6281,35.1446,1.7715,54.3536,0,114,5.87742
-54.2547,43.8421,10,-49.4984,35.0457,1.88548,50.6025,0,115,5.49653
-54.3346,43.6372,10,-49.3767,34.9528,2.10553,50.3824,0,115,5.49653
-54.4074,43.4298,10,-49.2546,34.8596,4.57212,98.3561,0,134,10.7786
-54.5299,43.0165,10,-49.0135,34.6758,5.48685,97.4414,0,134,10.7786
-54.6254,42.5962,10,-48.7694,34.4902,7.09826,106.297,0,135,11.8747
-54.6995,42.1271,10,-48.4968,34.2832,8.31485,105.08,0,135,11.8747
-54.7413,41.6541,10,-48.2199,34.0731,10.4897,113.597,0,136,12.9944
-54.7509,41.1345,10,-47.9114,33.8392,12.0802,112.007,0,136,12.9944
-54.7237,40.6155,10,-47.5966,33.6009,14.9315,119.981,0,137,14.128
-54.6539,40.0548,10,-47.247,33.3363,16.9662,117.946,0,137,14.128
-54.5439,39.5006,10,-46.8894,33.0658,20.606,125.176,0,138,15.2663
-54.3825,38.9118,10,-46.4936,32.7665,24.8819,131.84,0,139,16.4119
-54.1628,38.2933,10,-46.0574,32.4365,27.9058,128.816,0,139,16.4119
-53.8988,37.6924,10,-45.6102,32.0979,33.158,134.52,0,140,17.5592
-53.5717,37.071,10,-45.1199,31.7263,39.1479,139.447,0,141,18.7024
-53.1777,36.4353,10,-44.5848,31.3203,43.2701,135.325,0,141,18.7024
-52.7419,35.8274,10,-44.0378,30.9041,50.2589,139.172,0,142,19.8372
-52.2398,35.2131,10,-43.4456,30.4527,57.9454,142.202,0,143,20.9594
-51.6711,34.5973,10,-42.8088,29.965,66.2901,144.417,0,144,22.0652
-51.0367,33.984,10,-42.128,29.4415,73.1899,141.993,0,145,22.5339
-50.3576,33.3916,10,-41.424,28.898,78.0297,135.826,0,146,22.395
-49.6572,32.8333,10,-40.7188,28.3496,82.956,130.9,0,146,22.395
-48.9368,32.3012,10,-40.0098,27.7947,86.9485,125.534,0,147,22.2511
-48.2053,31.7944,10,-39.3033,27.2387,90.4382,120.622,0,148,22.1022
-47.4669,31.3085,10,-38.6016,26.6819,93.4424,116.15,0,149,21.9485
-46.7248,30.8397,10,-37.906,26.125,95.9797,112.098,0,150,21.7898
-45.9819,30.3843,10,-37.2171,25.57,98.7948,109.283,0,150,21.7898
-45.2348,29.9358,10,-36.531,25.0119,100.513,106.004,0,151,21.6264
-44.4907,29.4947,10,-35.8535,24.4552,101.844,103.067,0,152,21.4582
-43.7515,29.0589,10,-35.184,23.9016,102.796,100.463,0,153,21.2853
-43.0184,28.6263,10,-34.5242,23.349,104.312,98.9477,0,153,21.2853
-42.2864,28.1917,10,-33.868,22.7945,104.705,96.8594,0,154,21.1077
-41.5625,27.7574,10,-33.2203,22.2431,104.817,95.0063,0,155,20.9255
-40.8476,27.3224,10,-32.5832,21.6922,105.671,94.1529,0,155,20.9255
-40.1359,26.8822,10,-31.9487,21.1402,105.384,92.6552,0,156,20.7386
-39.4343,26.4399,10,-31.3244,20.5893,105.911,92.1284,0,156,20.7386
-38.7368,25.9911,10,-30.7034,20.0359,105.327,90.8842,0,157,20.5472
-38.0502,25.5397,10,-30.0914,19.4852,104.594,89.7455,0,158,20.3512
-37.3747,25.0856,10,-29.4898,18.9352,104.798,89.5419,0,158,20.3512
-36.704,24.6245,10,-28.89,18.3843,103.856,88.5683,0,159,20.1506
-36.0449,24.1609,10,-28.3021,17.8324,102.876,87.5904,0,160,19.9456
-35.3974,23.6951,10,-27.7217,17.2854,102.861,87.6055,0,160,19.9456
-34.7548,23.2224,10,-27.1465,16.7329,101.756,86.7087,0,161,19.736
-34.1241,22.7479,10,-26.5797,16.1842,101.677,86.7876,0,161,19.736
-33.4983,22.2669,10,-26.0174,15.6309,100.488,85.9325,0,162,19.5219
-32.8842,21.7848,10,-25.4644,15.0806,100.376,86.0448,0,162,19.5219
-32.275,21.2965,10,-24.9153,14.5264,99.1312,85.2016,0,163,19.3033
-31.6774,20.8078,10,-24.3762,13.9746,99.0074,85.3255,0,163,19.3033
-31.0846,20.3133,10,-23.8405,13.4196,97.73,84.4722,0,164,19.0802
-30.5032,19.8191,10,-23.3156,12.8665,96.4449,83.5834,0,165,18.8525
-29.9333,19.3255,10,-22.8,12.3172,96.3167,83.7116,0,165,18.8525
-29.3677,18.8269,10,-22.2892,11.7632,95.0229,82.7879,0,166,18.6203
-28.8134,18.3296,10,-21.7879,11.2133,94.9085,82.9022,0,166,18.6203
-28.2633,17.8276,10,-21.2915,10.6587,93.6103,81.9391,0,167,18.3835
-27.7244,17.3276,10,-20.8048,10.1083,93.5169,82.0325,0,167,18.3835
-27.1895,16.8232,10,-20.3228,9.55354,92.2148,81.029,0,168,18.142
-26.6656,16.3213,10,-19.851,9.00269,92.1467,81.097,0,168,18.142
-26.1456,15.8153,10,-19.3835,8.44818,90.8388,80.0545,0,169,17.8959
-25.6365,15.3123,10,-18.9271,7.8971,90.7989,80.0944,0,169,17.8959
-25.1311,14.8055,10,-18.4741,7.3433,89.4814,79.0159,0,170,17.645
-24.6366,14.3021,10,-18.0335,6.79219,89.4709,79.0264,0,170,17.645
-24.1457,13.7951,10,-17.5948,6.23962,89.4349,79.0625,0,170,17.645
-23.6585,13.2846,10,-17.164,5.68058,88.1583,77.8968,0,171,17.3892
-23.1821,12.7781,10,-16.7398,5.1297,88.1274,77.9277,0,171,17.3892
-22.7092,12.2681,10,-16.3255,4.57081,86.8563,76.7093,0,172,17.1286
-22.247,11.7625,10,-15.9176,4.02053,86.851,76.7146,0,172,17.1286
-21.7884,11.2536,10,-15.5181,3.46376,85.5546,75.4733,0,173,16.8628
-21.3405,10.7495,10,-15.127,2.91423,85.5773,75.4506,0,173,16.8628
-20.8962,10.2422,10,-14.7418,2.36038,84.246,74.1945,0,174,16.5919
-20.4625,9.74002,10,-14.3678,1.81191,84.2971,74.1433,0,174,16.5919
-20.0323,9.23477,10,-13.9966,1.2617,82.9237,72.8782,0,175,16.3155
-19.6129,8.73497,10,-13.64,0.71464,83.0038,72.798,0,175,16.3155
-19.1969,8.23221,10,-13.2837,0.16786,83.0304,72.7714,0,175,16.3155
-18.7846,7.7265,10,-12.9376,-0.38602,81.6905,71.4197,0,176,16.0337
-18.383,7.22663,10,-12.5991,-0.93096,81.7438,71.3664,0,176,16.0337
-17.985,6.72389,10,-12.2665,-1.47973,80.3458,70.0177,0,177,15.746
-17.5977,6.22735,10,-11.946,-2.02239,80.4272,69.9364,0,177,15.746
-17.214,5.728,10,-11.6263,-2.56522,78.964,68.5955,0,178,15.4524
-16.841,5.23525,10,-11.324,-3.10514,79.0751,68.4844,0,178,15.4524
-16.4717,4.73977,10,-11.0219,-3.6447,79.1323,68.4272,0,178,15.4524
-16.1061,4.24157,10,-10.7269,-4.18843,77.6774,67.0178,0,179,15.1524
-15.7512,3.75038,10,-10.4433,-4.72468,77.7633,66.9319,0,179,15.1524
-15.4,3.25654,10,-10.1601,-5.26072,76.2274,65.5402,0,180,14.8459
-15.0596,2.77012,10,-9.89515,-5.79312,76.3444,65.4232,0,180,14.8459
-14.7228,2.28115,10,-9.63039,-6.3251,76.4092,65.3583,0,180,14.8459
-14.3898,1.7896,10,-9.37111,-6.85985,74.8643,63.9085,0,181,14.5323
-14.0675,1.30596,10,-9.12513,-7.38731,74.96,63.8129,0,181,14.5323
-13.749,0.81984,10,-8.87934,-7.91438,75.007,63.7658,0,181,14.5323
